case_id,status,district,age_band,language_preference,tenure,household_size,opened_date,closure_month,monthly_award,opened_year,opened_month,case_age_months,contact_attempts,months_since_review,payment_adjustments,total_payments,total_amount_paid,avg_payment_amount,min_payment_amount,max_payment_amount,std_payment_amount,distinct_payment_months,max_payments_in_single_month,multi_payment_months_count,has_same_month_multi_payments,post_closure_payment_count,is_post_closure_paid,total_post_closure_amount,total_excess_amount,avg_payment_to_award_ratio,max_payment_to_award_ratio,num_adjusted_payments,adjustment_rate
C-30000,Active,Calder Central,45-59,English,Private tenancy,2,2024-11-13,,1026.76,2024,11,13,3,0,0,6,5795.76,965.96,773.83,1064.0,99.73899518242601,6,1,0,0,0,0,0.0,37.24000000000001,0.9407846039970392,1.0362694300518134,0,0.0
C-30001,Active,Weybridge,30-44,English,Private tenancy,1,2023-10-21,,497.45,2023,10,26,0,0,0,6,3011.9700000000003,501.99500000000006,479.72,525.47,19.21114129873601,6,1,0,0,0,0,0.0,61.490000000000066,1.0091365966428787,1.0563272690722687,0,0.0
C-30002,Active,Northgate,45-59,English,No fixed abode,2,2025-02-02,,531.45,2025,2,10,4,19,1,6,3107.75,517.9583333333334,447.43,543.53,36.084862985283266,6,1,0,0,0,0,0.0,26.349999999999795,0.974613478847179,1.0227302662527047,0,0.0
C-30003,Active,Weybridge,60-74,Spanish,Owner-occupier,2,2024-10-06,,926.43,2024,10,14,7,6,1,6,5440.03,906.6716666666666,874.74,961.65,38.19654247005435,6,1,0,0,0,0,0.0,56.09000000000003,0.9786726106307726,1.0380169035976814,1,0.16666666666666666
C-30004,Active,Weybridge,30-44,English,No fixed abode,1,2023-03-19,,514.36,2023,3,33,0,20,1,6,3088.67,514.7783333333333,437.96,542.71,39.65870064269213,6,1,0,0,0,0,0.0,84.22000000000003,1.0008133084480388,1.0551170386499729,1,0.16666666666666666
C-30005,Active,Northgate,18-29,English,No fixed abode,1,2022-10-11,,612.77,2022,10,38,1,21,2,6,3706.13,617.6883333333334,586.28,647.68,23.837002677909556,6,1,0,0,0,0,0.0,68.43999999999994,1.0080263938073557,1.0569708047064967,1,0.16666666666666666
C-30006,Active,Calder Central,45-59,English,Resident with family,2,2025-01-02,,979.71,2025,1,11,2,21,1,6,5872.17,978.695,930.17,1027.62,38.877545575820484,6,1,0,0,0,0,0.0,95.97999999999979,0.9989639791366832,1.0489022261689682,1,0.16666666666666666
C-30007,Active,Weybridge,60-74,English,Social tenancy,1,2023-04-27,,651.1,2023,4,32,4,9,0,6,3762.96,627.16,484.64,684.14,71.3795049016173,6,1,0,0,0,0,0.0,36.38999999999987,0.9632314544616802,1.050744893257564,0,0.0
C-30008,Active,Weybridge,45-59,English,Resident with family,5,2024-02-01,,1259.96,2024,2,22,3,23,2,6,7279.5599999999995,1213.26,1004.68,1322.99,113.54733673671085,6,1,0,0,0,0,0.0,110.70000000000005,0.962935331280358,1.050025397631671,1,0.16666666666666666
C-30009,Active,Northgate,30-44,English,Social tenancy,5,2023-04-13,,1103.89,2023,4,32,2,8,2,6,6449.3099999999995,1074.885,881.96,1168.46,104.33875957667881,6,1,0,0,0,0,0.0,120.0799999999997,0.9737247370661931,1.0584931469621066,1,0.16666666666666666
C-30010,Active,Weybridge,45-59,Other,Social tenancy,3,2022-09-04,,1044.93,2022,9,39,3,10,0,6,6072.32,1012.0533333333333,865.45,1104.77,84.21498528567624,6,1,0,0,0,0,0.0,85.39999999999986,0.9685369673885651,1.057266993961318,0,0.0
C-30011,Active,Ash Hill,30-44,English,Social tenancy,4,2025-07-11,,1165.09,2025,7,5,1,11,1,6,6980.3,1163.3833333333334,1130.94,1201.95,26.987661378242166,6,1,0,0,0,0,0.0,57.34000000000037,0.9985351632348861,1.0316370409152942,3,0.5
C-30012,Active,Northgate,60-74,Other,Social tenancy,1,2024-08-24,,597.11,2024,8,16,4,5,1,6,3366.31,561.0516666666666,462.73,626.14,53.54314836341494,6,1,0,0,0,0,0.0,29.029999999999973,0.9396119084702428,1.0486175076619049,2,0.3333333333333333
C-30013,Active,Weybridge,75+,Spanish,Resident with family,3,2024-09-10,,1134.11,2024,9,15,5,0,0,6,6651.48,1108.58,1074.83,1152.91,30.411724055041667,6,1,0,0,0,0,0.0,18.800000000000182,0.9774889560977331,1.0165768752590139,0,0.0
C-30014,Active,Northgate,45-59,English,Resident with family,2,2021-03-13,,537.48,2021,3,57,1,23,0,6,3128.4700000000003,521.4116666666667,507.97,544.39,14.409149061157857,6,1,0,0,0,0,0.0,6.909999999999968,0.970104313958969,1.0128562923271562,0,0.0
C-30015,Active,Weybridge,45-59,English,No fixed abode,1,2023-11-28,,550.26,2023,11,25,1,18,0,6,3314.88,552.48,523.0,581.71,20.336974209552412,6,1,0,0,0,0,0.0,52.07000000000005,1.0040344564387744,1.057154799549304,0,0.0
C-30016,Closed,Northgate,75+,Other,No fixed abode,3,2023-10-16,2025-07,1034.77,2023,10,26,1,14,4,1,1022.43,1022.43,1022.43,1022.43,0.0,1,1,0,0,0,0,0.0,0.0,0.9880746446070141,0.9880746446070141,0,0.0
C-30017,Active,Northgate,60-74,Spanish,Private tenancy,3,2024-06-23,,1058.06,2024,6,18,3,22,2,6,6300.469999999999,1050.0783333333331,1020.42,1093.99,26.556410462761484,6,1,0,0,0,0,0.0,39.460000000000036,0.9924563194273796,1.0339583766516076,3,0.5
C-30018,Active,Weybridge,30-44,English,Social tenancy,4,2021-04-21,,740.23,2021,4,56,0,1,1,6,4239.7,706.6166666666667,530.09,781.34,91.90549834839406,6,1,0,0,0,0,0.0,75.02999999999997,0.9545906902809486,1.0555367926185104,3,0.5
C-30019,Active,Weybridge,45-59,English,Private tenancy,2,2024-02-27,,616.66,2024,2,22,2,17,0,6,3508.12,584.6866666666666,424.25,650.05,82.64717216376289,6,1,0,0,0,0,0.0,59.08000000000004,0.9481507908193603,1.054146531313852,0,0.0
C-30020,Active,Ash Hill,18-29,Other,Owner-occupier,2,2024-01-10,,934.22,2024,1,23,5,3,1,6,5404.97,900.8283333333334,741.48,979.89,87.05959600564815,6,1,0,0,0,0,0.0,86.00999999999999,0.9642571699742387,1.048885701440774,1,0.16666666666666666
C-30021,Active,Weybridge,45-59,Other,Owner-occupier,1,2022-04-23,,703.51,2022,4,44,3,1,0,6,3966.3,661.0500000000001,541.25,704.53,60.15533326314464,6,1,0,0,0,0,0.0,1.0199999999999818,0.9396454918906625,1.0014498727807706,0,0.0
C-30022,Active,Calder Central,75+,Other,No fixed abode,3,2021-08-15,,1193.15,2021,8,52,7,20,2,6,7186.84,1197.8066666666666,1126.7,1250.32,49.90770147649226,6,1,0,0,0,0,0.0,137.62999999999965,1.0039028342343097,1.0479151825001047,1,0.16666666666666666
C-30023,Active,Ash Hill,45-59,English,Social tenancy,3,2024-10-06,,703.54,2024,10,14,2,11,2,6,4307.28,717.88,694.91,731.02,12.877889578653773,6,1,0,0,0,0,0.0,94.67000000000007,1.0203826363817268,1.0390596128151919,0,0.0
C-30024,Active,Calder Central,45-59,English,Owner-occupier,2,2024-07-06,,619.41,2024,7,17,3,4,1,6,3612.7799999999997,602.13,486.45,653.38,60.927605565950174,6,1,0,0,0,0,0.0,65.49000000000012,0.9721024846224634,1.0548425114221598,2,0.3333333333333333
C-30025,Active,Northgate,45-59,Spanish,Resident with family,2,2021-09-26,,793.42,2021,9,51,3,6,0,6,4757.65,792.9416666666666,752.51,825.2,29.497558147525794,6,1,0,0,0,0,0.0,67.52000000000021,0.9993971246838581,1.0400544478334302,0,0.0
C-30026,Active,Calder Central,75+,Other,No fixed abode,4,2023-11-18,,916.32,2023,11,25,3,9,1,6,5336.05,889.3416666666667,873.29,900.58,10.202692618454558,6,1,0,0,0,0,0.0,0.0,0.9705579564635353,0.9828225947267331,2,0.3333333333333333
C-30027,Active,Northgate,18-29,English,Resident with family,5,2022-01-17,,1288.99,2022,1,47,2,6,0,6,7847.0,1307.8333333333333,1217.18,1365.06,60.20756486245444,6,1,0,0,0,0,0.0,222.14999999999986,1.0146186807759048,1.0590151979456783,0,0.0
C-30028,Active,Weybridge,30-44,English,Social tenancy,2,2024-07-08,,698.65,2024,7,17,2,19,0,6,4125.44,687.5733333333333,666.89,715.5,22.975373482637135,6,1,0,0,0,0,0.0,28.360000000000014,0.9841456141606431,1.0241179417447936,0,0.0
C-30029,Active,Northgate,60-74,English,Resident with family,3,2024-11-20,,777.8,2024,11,13,2,20,1,6,4665.9,777.65,750.1,822.34,24.312106449256923,6,1,0,0,0,0,0.0,48.38000000000011,0.9998071483671896,1.0572640781691953,2,0.3333333333333333
C-30030,Active,Ash Hill,75+,English,Social tenancy,4,2021-01-03,,1350.44,2021,1,59,3,12,0,6,8187.5599999999995,1364.5933333333332,1293.53,1405.45,54.29027046043031,6,1,0,0,0,0,0.0,196.54999999999973,1.0104805347392949,1.0407348715974052,0,0.0
C-30031,Active,Ash Hill,30-44,Spanish,Social tenancy,3,2021-07-12,,1215.63,2021,7,53,6,10,1,6,7072.07,1178.6783333333333,910.07,1273.23,138.58707117428622,6,1,0,0,0,0,0.0,149.99999999999955,0.9696028671004608,1.0473828385281705,0,0.0
C-30032,Active,Weybridge,18-29,English,Private tenancy,1,2023-09-29,,450.77,2023,9,27,1,6,1,6,2674.23,445.705,394.46,473.07,26.892408408322233,6,1,0,0,0,0,0.0,31.940000000000055,0.9887636710517559,1.049470905339752,0,0.0
C-30033,Active,Weybridge,45-59,English,Owner-occupier,4,2024-01-24,,1346.21,2024,1,23,0,23,1,6,7688.62,1281.4366666666667,1094.13,1414.2,105.78343493509112,6,1,0,0,0,0,0.0,67.99000000000001,0.9518846737631326,1.05050475037327,0,0.0
C-30034,Active,Weybridge,30-44,Spanish,No fixed abode,1,2025-02-17,,397.09,2025,2,10,6,1,1,6,2449.95,408.325,384.77,418.99,12.935889223397055,6,1,0,0,0,0,0.0,79.73000000000013,1.0282933340048857,1.0551512251630613,0,0.0
C-30035,Active,Weybridge,30-44,Spanish,Social tenancy,2,2021-08-26,,860.5,2021,8,52,3,13,5,6,5186.93,864.4883333333333,818.31,907.47,33.83015366011023,6,1,0,0,0,0,0.0,95.0200000000001,1.00463490218865,1.0545845438698431,1,0.16666666666666666
C-30036,Active,Calder Central,30-44,English,Resident with family,2,2025-03-31,,685.22,2025,3,9,1,8,2,6,4178.5,696.4166666666666,660.31,722.56,25.415096825836965,6,1,0,0,0,0,0.0,102.88999999999987,1.016340250819688,1.0544934473599719,0,0.0
C-30037,Active,Northgate,18-29,Spanish,Private tenancy,3,2022-12-30,,1149.77,2022,12,36,5,5,2,6,6838.22,1139.7033333333334,1080.9,1188.74,40.39827752103627,6,1,0,0,0,0,0.0,58.440000000000055,0.9912446257367415,1.033893735268793,4,0.6666666666666666
C-30038,Active,Calder Central,45-59,English,Social tenancy,3,2025-08-23,,753.29,2025,8,4,0,19,1,6,4343.81,723.9683333333334,644.87,765.62,41.02649944446477,6,1,0,0,0,0,0.0,12.330000000000041,0.9610751945908392,1.0163681981706914,1,0.16666666666666666
C-30039,Active,Calder Central,45-59,English,Resident with family,4,2025-04-13,,885.24,2025,4,8,6,16,1,6,4715.14,785.8566666666667,687.16,904.72,93.70697362878957,6,1,0,0,0,0,0.0,19.480000000000018,0.8877328935279322,1.0220053318873978,2,0.3333333333333333
C-30040,Active,Calder Central,30-44,English,Resident with family,2,2024-03-11,,911.64,2024,3,21,2,6,0,6,5484.34,914.0566666666667,859.66,965.39,43.707629844990066,6,1,0,0,0,0,0.0,110.0,1.0026509002091468,1.0589596770655083,0,0.0
C-30041,Active,Northgate,18-29,English,Resident with family,4,2023-08-20,,1281.41,2023,8,28,3,22,1,6,7567.64,1261.2733333333333,1156.79,1343.35,70.88035741068653,6,1,0,0,0,0,0.0,116.70999999999981,0.9842855396269213,1.0483373783566539,3,0.5
C-30042,Active,Calder Central,18-29,English,Resident with family,3,2022-07-13,,798.88,2022,7,41,2,19,0,6,4576.87,762.8116666666666,580.2,834.68,96.65307122211203,6,1,0,0,0,0,0.0,90.09999999999991,0.9548513752586955,1.0448127378329661,0,0.0
C-30043,Active,Calder Central,60-74,Other,Resident with family,2,2024-03-13,,651.9,2024,3,21,2,1,3,6,3792.39,632.0649999999999,485.04,676.76,74.23377310901017,6,1,0,0,0,0,0.0,70.07000000000005,0.9695735542261082,1.038134683233625,3,0.5
C-30044,Active,Northgate,45-59,English,Owner-occupier,2,2021-02-24,,671.2,2021,2,58,1,20,1,6,4001.34,666.89,565.69,709.87,52.65716589411168,6,1,0,0,0,0,0.0,94.4799999999999,0.9935786650774731,1.0576132300357568,3,0.5
C-30045,Active,Calder Central,45-59,Other,Private tenancy,1,2025-07-09,,578.59,2025,7,5,3,5,0,6,3343.85,557.3083333333333,436.67,596.86,60.6567962941224,6,1,0,0,0,0,0.0,36.049999999999955,0.9632180530830698,1.0315767642026306,0,0.0
C-30046,Active,Northgate,60-74,Spanish,No fixed abode,2,2025-05-09,,750.96,2025,5,7,2,8,1,6,4468.21,744.7016666666667,603.01,790.79,70.86974852972645,6,1,0,0,0,0,0.0,110.54999999999984,0.9916662227903839,1.0530387770320655,2,0.3333333333333333
C-30047,Active,Weybridge,18-29,Spanish,Owner-occupier,2,2022-03-07,,625.73,2022,3,45,3,11,1,6,3781.91,630.3183333333333,596.9,662.14,27.16791226183321,6,1,0,0,0,0,0.0,81.6099999999999,1.0073327686595388,1.0581880363735157,1,0.16666666666666666
C-30048,Active,Weybridge,75+,Spanish,Private tenancy,4,2022-08-23,,913.03,2022,8,40,2,21,1,6,5415.59,902.5983333333334,864.9,961.52,36.24054879091468,6,1,0,0,0,0,0.0,66.86000000000001,0.9885746726102465,1.0531088792263124,1,0.16666666666666666
C-30049,Active,Weybridge,75+,Other,Resident with family,2,2025-06-20,,650.13,2025,6,6,3,20,0,6,3741.14,623.5233333333333,527.4,671.99,51.65589285518803,6,1,0,0,0,0,0.0,32.65999999999997,0.9590748516963273,1.033624044421885,0,0.0
C-30050,Active,Calder Central,45-59,Spanish,Social tenancy,2,2023-05-21,,516.46,2023,5,31,7,3,4,6,2963.0,493.8333333333333,403.53,546.45,50.32524402987701,6,1,0,0,0,0,0.0,48.360000000000014,0.9561889271837766,1.058068388645781,1,0.16666666666666666
C-30051,Active,Weybridge,18-29,English,Resident with family,4,2023-10-19,,735.35,2023,10,26,2,22,0,6,4135.26,689.21,592.47,775.02,69.33979088517644,6,1,0,0,0,0,0.0,39.66999999999996,0.9372543686679812,1.0539471000203984,0,0.0
C-30052,Suspended,Ash Hill,60-74,Spanish,Social tenancy,1,2021-03-01,,487.24,2021,3,57,3,17,1,6,2946.3199999999997,491.0533333333333,476.44,514.89,15.513583295508054,6,1,0,0,0,0,0.0,50.47999999999996,1.007826396300249,1.0567482144323126,1,0.16666666666666666
C-30053,Active,Calder Central,30-44,Other,Private tenancy,1,2021-11-28,,742.34,2021,11,49,5,12,5,6,4421.41,736.9016666666666,701.58,765.5,22.913417393891,6,1,0,0,0,0,0.0,37.569999999999936,0.9926740666900162,1.0311986421316377,3,0.5
C-30054,Active,Northgate,75+,Other,Social tenancy,6,2021-09-14,,1155.8,2021,9,51,5,4,2,6,6908.25,1151.375,1095.4,1205.35,40.972075734578006,6,1,0,0,0,0,0.0,79.94000000000005,0.9961714829555287,1.0428707388821594,1,0.16666666666666666
C-30055,Active,Weybridge,75+,English,No fixed abode,5,2025-08-16,,1286.24,2025,8,4,2,14,0,6,7748.860000000001,1291.4766666666667,1217.7,1355.81,58.09061599489765,6,1,0,0,0,0,0.0,161.23000000000002,1.0040712982543434,1.0540878840651822,0,0.0
C-30056,Closed,Northgate,60-74,English,Social tenancy,1,2022-06-25,2025-10,733.94,2022,6,42,4,18,1,4,2411.05,602.7625,539.09,707.17,78.43748992031807,4,1,0,0,0,0,0.0,0.0,0.8212694498187862,0.9635256287979943,0,0.0
C-30057,Active,Northgate,75+,English,Social tenancy,4,2021-04-21,,811.25,2021,4,56,1,0,1,6,4932.0,822.0,779.28,858.61,26.21968573419601,6,1,0,0,0,0,0.0,97.07000000000005,1.013251155624037,1.0583790446841295,1,0.16666666666666666
C-30058,Active,Calder Central,30-44,English,Social tenancy,2,2022-03-29,,818.75,2022,3,45,5,22,0,6,4847.91,807.985,642.3,867.56,84.39474314197538,6,1,0,0,0,0,0.0,122.27999999999997,0.9868519083969466,1.0596152671755725,0,0.0
C-30059,Active,Weybridge,18-29,English,Private tenancy,1,2021-12-26,,507.64,2021,12,48,3,1,2,6,2898.27,483.045,344.7,529.5,68.99943876583345,6,1,0,0,0,0,0.0,33.83000000000004,0.9515503112441888,1.0430620124497676,2,0.3333333333333333
C-30060,Active,Calder Central,45-59,English,Private tenancy,1,2022-12-06,,671.45,2022,12,36,1,11,0,6,3874.8,645.8000000000001,557.1,704.58,50.25691713585306,6,1,0,0,0,0,0.0,39.539999999999964,0.9617990915183557,1.0493409784794103,0,0.0
C-30061,Active,Ash Hill,75+,English,Owner-occupier,1,2024-11-15,,433.99,2024,11,13,1,10,2,6,2537.37,422.895,409.7,444.42,12.963081038086603,6,1,0,0,0,0,0.0,10.430000000000007,0.9744348948132445,1.0240328118159405,1,0.16666666666666666
C-30062,Closed,Calder Central,45-59,English,Social tenancy,2,2023-04-19,2025-08,805.15,2023,4,32,1,17,1,2,1615.6599999999999,807.8299999999999,779.8,835.86,39.64040615331793,2,1,0,0,0,0,0.0,30.710000000000036,1.0033285723157177,1.0381419611252563,1,0.5
C-30063,Active,Weybridge,30-44,English,Resident with family,2,2023-04-03,,865.13,2023,4,32,2,3,0,6,5100.87,850.145,735.54,902.12,60.3375301947304,6,1,0,0,0,0,0.0,66.96000000000004,0.9826789037485696,1.0427565799359635,0,0.0
C-30064,Active,Calder Central,45-59,English,Resident with family,1,2024-11-11,,626.13,2024,11,13,2,0,0,6,3808.74,634.79,592.11,662.87,26.180644759058154,6,1,0,0,0,0,0.0,92.40999999999997,1.013830993563637,1.0586779103381088,0,0.0
C-30065,Closed,Northgate,30-44,English,Resident with family,3,2022-04-24,2025-11,957.94,2022,4,44,2,9,0,5,4885.65,977.1299999999999,901.03,1014.6,43.86582667635478,5,1,0,0,0,0,0.0,152.8599999999998,1.0200325698895547,1.0591477545566528,0,0.0
C-30066,Active,Calder Central,75+,English,No fixed abode,4,2022-07-25,,1031.88,2022,7,41,4,2,2,6,6125.56,1020.9266666666667,817.8,1081.05,101.74153442260773,6,1,0,0,0,0,0.0,150.73999999999978,0.9893850706154462,1.0476508896383299,2,0.3333333333333333
C-30067,Active,Weybridge,45-59,English,Social tenancy,1,2021-05-15,,435.4,2021,5,55,2,11,1,6,2543.01,423.83500000000004,303.66,460.89,59.76668495073153,6,1,0,0,0,0,0.0,66.62000000000006,0.9734382177308222,1.058543867707855,2,0.3333333333333333
C-30068,Active,Ash Hill,75+,Spanish,Private tenancy,3,2023-10-25,,1031.55,2023,10,26,4,8,1,6,6132.57,1022.0949999999999,970.14,1080.89,40.74504816539067,6,1,0,0,0,0,0.0,74.9200000000003,0.9908341815714218,1.0478309340313123,3,0.5
C-30069,Active,Ash Hill,45-59,English,Owner-occupier,3,2025-03-18,,1109.63,2025,3,9,1,18,0,6,6545.52,1090.92,975.93,1142.58,66.33626338587362,6,1,0,0,0,0,0.0,86.44999999999959,0.9831385236520281,1.0296945828789774,0,0.0
C-30070,Active,Northgate,60-74,English,Resident with family,1,2025-06-29,,381.55,2025,6,6,3,16,1,6,2052.67,342.1116666666667,253.75,390.55,58.015139891813305,6,1,0,0,0,0,0.0,12.269999999999982,0.8966365264491328,1.0235879963307561,2,0.3333333333333333
C-30071,Active,Calder Central,30-44,English,Resident with family,1,2022-07-27,,466.78,2022,7,41,1,16,0,6,2733.32,455.55333333333334,433.03,473.23,14.794710766576912,6,1,0,0,0,0,0.0,6.4500000000000455,0.9759486981733008,1.0138180727537598,0,0.0
C-30072,Active,Northgate,60-74,English,Owner-occupier,5,2024-01-25,,1190.13,2024,1,23,1,16,1,6,7164.33,1194.055,1136.49,1244.08,45.756601600206274,6,1,0,0,0,0,0.0,131.87999999999965,1.0032979590464908,1.0453311823078149,1,0.16666666666666666
C-30073,Active,Ash Hill,75+,English,Social tenancy,1,2022-11-19,,438.32,2022,11,37,1,9,1,6,2478.02,413.00333333333333,300.81,463.47,58.999639207936376,6,1,0,0,0,0,0.0,46.110000000000014,0.9422415890977672,1.057378171199124,1,0.16666666666666666
C-30074,Active,Calder Central,60-74,Spanish,No fixed abode,4,2021-09-13,,1164.7,2021,9,51,4,16,2,6,6668.02,1111.3366666666668,934.44,1228.82,96.48260914106044,6,1,0,0,0,0,0.0,64.11999999999989,0.9541827652328211,1.0550528032969864,0,0.0
C-30075,Active,Ash Hill,45-59,English,Owner-occupier,4,2023-11-21,,1237.3,2023,11,25,2,0,1,6,7609.61,1268.2683333333332,1163.26,1310.07,54.89726747905276,6,1,0,0,0,0,0.0,259.85000000000014,1.0250289609095073,1.058813545623535,1,0.16666666666666666
C-30076,Active,Northgate,45-59,English,Resident with family,3,2022-07-27,,602.32,2022,7,41,2,10,0,6,3475.0,579.1666666666666,514.21,633.58,38.50556098366397,6,1,0,0,0,0,0.0,31.25999999999999,0.9615597467569841,1.0518993226192057,0,0.0
C-30077,Active,Weybridge,60-74,Other,No fixed abode,3,2024-08-22,,944.27,2024,8,16,2,4,2,6,5843.41,973.9016666666666,918.01,990.89,28.92972686816567,6,1,0,0,0,0,0.0,204.05000000000007,1.0313805020456719,1.0493714721425016,2,0.3333333333333333
