demographic_field,group,population_count,population_percentage,top20_count,top20_percentage,representation_ratio,average_priority_score
district,Ash Hill,663,15.785714285714286,6,30.0,1.9004524886877827,0.2088133956592053
district,Calder Central,1433,34.11904761904762,5,25.0,0.732728541521284,0.19790659604661628
district,Northgate,1121,26.690476190476193,6,30.0,1.1239964317573594,0.20174939327234448
district,Weybridge,983,23.404761904761905,3,15.0,0.6408952187182095,0.1899054711654264
age_band,18-29,701,16.690476190476193,4,20.0,1.1982881597717545,0.2025764656716352
age_band,30-44,1112,26.476190476190474,7,35.0,1.3219424460431655,0.19833259153100158
age_band,45-59,992,23.61904761904762,4,20.0,0.846774193548387,0.18865931683299594
age_band,60-74,874,20.809523809523807,4,20.0,0.9610983981693365,0.20494000912609306
age_band,75+,521,12.404761904761905,1,5.0,0.40307101727447214,0.2035739481342403
language_preference,English,3277,78.02380952380953,13,65.0,0.8330790357033871,0.19200465881180806
language_preference,Other,413,9.833333333333332,3,15.0,1.5254237288135595,0.2243964682863861
language_preference,Spanish,510,12.142857142857142,4,20.0,1.647058823529412,0.2215815159650866
tenure,No fixed abode,855,20.357142857142858,2,10.0,0.49122807017543857,0.2034539331976636
tenure,Owner-occupier,815,19.404761904761905,4,20.0,1.030674846625767,0.2045134242974909
tenure,Private tenancy,830,19.761904761904763,5,25.0,1.2650602409638554,0.19265470101967155
tenure,Resident with family,824,19.61904761904762,3,15.0,0.7645631067961165,0.2002113620485034
tenure,Social tenancy,876,20.857142857142858,6,30.0,1.4383561643835616,0.19334756119864713
