demographic_field,group,population_count,population_percentage,top20_count,top20_percentage,representation_ratio,average_priority_score
district,Ash Hill,663,15.785714285714286,7,35.0,2.2171945701357463,0.18681986503232523
district,Calder Central,1433,34.11904761904762,6,30.0,0.8792742498255408,0.17516912694152392
district,Northgate,1121,26.690476190476193,5,25.0,0.9366636931311328,0.1794228784605367
district,Weybridge,983,23.404761904761905,2,10.0,0.427263479145473,0.165651148562549
age_band,18-29,701,16.690476190476193,3,15.0,0.8987161198288158,0.17850602630326234
age_band,30-44,1112,26.476190476190474,9,45.0,1.6996402877697843,0.1761588133790458
age_band,45-59,992,23.61904761904762,3,15.0,0.6350806451612903,0.1660113023897596
age_band,60-74,874,20.809523809523807,4,20.0,0.9610983981693365,0.18259522603397058
age_band,75+,521,12.404761904761905,1,5.0,0.40307101727447214,0.17956677691835907
language_preference,English,3277,78.02380952380953,13,65.0,0.8330790357033871,0.17544685428436624
language_preference,Other,413,9.833333333333332,3,15.0,1.5254237288135595,0.17902291885937627
language_preference,Spanish,510,12.142857142857142,4,20.0,1.647058823529412,0.17641421222763165
tenure,No fixed abode,855,20.357142857142858,2,10.0,0.49122807017543857,0.18069076523429967
tenure,Owner-occupier,815,19.404761904761905,4,20.0,1.030674846625767,0.1811910379422863
tenure,Private tenancy,830,19.761904761904763,5,25.0,1.2650602409638554,0.17022555953439591
tenure,Resident with family,824,19.61904761904762,3,15.0,0.7645631067961165,0.17705936750642648
tenure,Social tenancy,876,20.857142857142858,6,30.0,1.4383561643835616,0.17066395180108349
