case_id,status,district,age_band,language_preference,tenure,household_size,opened_date,closure_month,monthly_award,opened_year,opened_month,case_age_months,contact_attempts,months_since_review,payment_adjustments,total_payments,total_amount_paid,avg_payment_amount,min_payment_amount,max_payment_amount,std_payment_amount,distinct_payment_months,max_payments_in_single_month,multi_payment_months_count,has_same_month_multi_payments,post_closure_payment_count,is_post_closure_paid,total_post_closure_amount,total_excess_amount,avg_payment_to_award_ratio,max_payment_to_award_ratio,num_adjusted_payments,adjustment_rate,anomaly_score,priority_score,adjusted_priority_score,adjusted_rank
C-33263,Suspended,Calder Central,30-44,Spanish,No fixed abode,6,2025-03-20,,1368.13,2025,3,9,5,6,3,6,15128.2,2521.366666666667,2253.21,2729.07,187.07516058169412,6,1,0,0,0,0,0.0,6919.419999999999,1.842929156342355,1.9947446514585605,3,0.5,0.2000472213536546,1.0,1.0,1
C-30644,Suspended,Ash Hill,45-59,English,Social tenancy,4,2025-01-17,,902.73,2025,1,11,6,13,3,6,11216.56,1869.4266666666665,1692.58,2080.89,167.0256523611467,6,1,0,0,0,0,0.0,5800.18,2.070859134698821,2.305107839553355,3,0.5,0.1857030852529878,0.9571666329504572,0.9571666329504572,2
C-33980,Active,Weybridge,60-74,Spanish,Private tenancy,3,2021-01-29,,1086.29,2021,1,59,6,0,5,10,11073.67,1107.367,1030.15,1131.69,33.03672200916892,6,2,4,1,0,0,0.0,286.46000000000004,1.0194027377587935,1.0417936278525992,4,0.4,0.1724177327692154,0.9174949249210328,0.9174949249210328,3
C-31298,Active,Ash Hill,30-44,Spanish,Private tenancy,4,2022-09-16,,746.45,2022,9,39,5,8,3,6,11983.26,1997.21,1749.02,2211.51,201.4262558853736,6,1,0,0,0,0,0.0,7504.559999999999,2.675611226471967,2.9627034630584768,1,0.1666666666666666,0.1607881996672369,0.8827676986540774,0.8827676986540774,4
C-30945,Closed,Calder Central,30-44,Other,No fixed abode,1,2024-11-18,2025-09,534.47,2024,11,13,6,4,5,6,3142.51,523.7516666666667,508.8,550.68,16.36682671340614,6,1,0,0,3,1,1580.56,17.87999999999988,0.9799458653744209,1.0303291110820063,3,0.5,0.1603881297280118,0.8815730402632165,0.8815730402632165,5
C-30824,Closed,Northgate,30-44,English,Owner-occupier,2,2021-09-08,2025-09,583.19,2021,9,51,4,1,4,6,3544.25,590.7083333333334,552.54,610.72,27.076011092232,6,1,0,0,3,1,1768.74,99.61999999999978,1.0128917391130392,1.0472058848745691,4,0.6666666666666666,0.1570308494201956,0.8715477854340873,0.8715477854340873,6
C-34118,Active,Northgate,18-29,English,Owner-occupier,5,2021-04-07,,1365.62,2021,4,56,5,7,0,6,13585.53,2264.255,1972.93,2476.31,197.02074213138067,6,1,0,0,0,0,0.0,5391.81,1.6580417685739812,1.8133228863080504,0,0.0,0.1544361918811767,0.8637998166504187,0.8637998166504187,7
C-32962,Suspended,Calder Central,18-29,English,Private tenancy,4,2022-03-03,,1017.53,2022,3,45,3,12,3,6,11042.27,1840.378333333333,1727.08,2005.5,113.29784594892644,6,1,0,0,0,0,0.0,4937.09,1.8086723077779847,1.970949259481293,1,0.1666666666666666,0.146991895815255,0.8415702265531616,0.8415702265531616,8
C-32035,Active,Ash Hill,18-29,English,Social tenancy,5,2022-12-20,,1139.01,2022,12,36,5,19,3,7,8187.77,1169.6814285714286,1093.48,1206.84,40.01264026470115,6,2,1,1,0,0,0.0,260.23,1.026928146874416,1.0595517159638632,5,0.7142857142857143,0.1457253309714801,0.8377881070539651,0.8377881070539651,9
C-33702,Closed,Ash Hill,60-74,English,Owner-occupier,4,2022-11-08,2025-09,1291.6,2022,11,37,5,8,3,6,7980.900000000001,1330.15,1260.83,1360.38,36.34356669343299,6,1,0,0,3,1,4062.5,262.07000000000085,1.0298467017652524,1.0532517807370705,2,0.3333333333333333,0.1446383503949684,0.834542248419977,0.834542248419977,10
C-30387,Closed,Weybridge,30-44,Other,Social tenancy,5,2021-05-07,2025-09,1116.54,2021,5,55,3,20,6,6,6624.8,1104.1333333333334,1063.49,1147.44,31.67412045608644,6,1,0,0,3,1,3343.0700000000006,46.50000000000023,0.9888882918062348,1.0276747810199367,0,0.0,0.141142459155276,0.8241030841800292,0.8241030841800292,11
C-30121,Closed,Calder Central,30-44,Spanish,Social tenancy,2,2022-12-07,2025-09,531.08,2022,12,36,5,22,5,6,3059.3,509.8833333333334,413.46,545.56,49.56961999719856,6,1,0,0,3,1,1495.21,30.269999999999868,0.9600876201953252,1.0272651954507794,2,0.3333333333333333,0.1373088646238955,0.8126554960834476,0.8126554960834476,12
C-31131,Suspended,Ash Hill,30-44,English,Resident with family,3,2022-03-04,,952.41,2022,3,45,5,6,3,6,9871.91,1645.3183333333334,1507.23,1755.97,81.88645636896658,6,1,0,0,0,0,0.0,4157.450000000001,1.7275315602874113,1.843712266775864,1,0.1666666666666666,0.135079160642097,0.8059973238244877,0.8059973238244877,13
C-34091,Closed,Northgate,75+,English,Owner-occupier,1,2025-01-26,2025-09,432.81,2025,1,11,4,13,4,6,2632.83,438.805,407.08,456.77,19.373843965511853,6,1,0,0,3,1,1273.24,70.34999999999997,1.0138513435456666,1.0553591645294702,2,0.3333333333333333,0.134937465374148,0.8055742042041323,0.8055742042041323,14
C-32995,Active,Calder Central,60-74,English,Resident with family,4,2021-01-06,,778.27,2021,1,59,5,10,1,6,11332.8,1888.8,1724.76,2106.5,143.37069979601824,6,1,0,0,0,0,0.0,6663.18,2.426921248409935,2.7066442237269843,2,0.3333333333333333,0.1345502558238067,0.8044179485273553,0.8044179485273553,15
C-32708,Closed,Ash Hill,45-59,Other,Private tenancy,3,2021-01-27,2025-09,1126.42,2021,1,59,4,21,3,6,6819.24,1136.54,1060.33,1188.7,44.84564103678304,6,1,0,0,3,1,3366.83,139.34999999999968,1.0089842154791284,1.0552902114664158,2,0.3333333333333333,0.1331074539318353,0.8001095633736677,0.8001095633736677,16
C-33364,Active,Northgate,45-59,English,Private tenancy,3,2025-04-15,,871.28,2025,4,8,3,5,4,7,5781.34,825.9057142857143,735.56,903.71,66.70940909575471,6,2,1,1,0,0,0.0,44.86000000000013,0.947922268714666,1.0372210999908182,5,0.7142857142857143,0.1318669002033446,0.7964051162864256,0.7964051162864256,17
C-34196,Closed,Northgate,30-44,English,Social tenancy,4,2025-02-21,2025-08,1406.73,2025,2,10,3,12,3,6,8412.96,1402.16,1356.32,1454.6,34.44739757949786,6,1,0,0,4,1,5581.7,65.66999999999985,0.9967513311012064,1.0340292735635124,2,0.3333333333333333,0.1304275747926979,0.7921071123365677,0.7921071123365677,18
C-33728,Closed,Calder Central,30-44,English,Resident with family,5,2021-05-12,2025-09,1063.56,2021,5,55,2,15,4,6,6415.7,1069.2833333333333,1016.08,1105.59,36.951140532690815,6,1,0,0,3,1,3212.1800000000003,110.15000000000008,1.005381298030514,1.0395182218210537,1,0.1666666666666666,0.130157977499278,0.7913020614263159,0.7913020614263159,19
