rank,case_id,adjusted_priority_score,priority_score,status,monthly_award,total_payments,post_closure_payment_count,total_excess_amount,has_same_month_multi_payments,contact_attempts,months_since_review,top_contributing_signals,plain_language_explanation
1,C-33263,1.0,1.0,Suspended,1368.13,6,0,6919.419999999999,0,5,6,high_award_excess | high_contact_attempts,"Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 1.99x the award, resulting in $6,919.42 of total excess payments). | The case shows an unusually high number of agency contact attempts (5 attempts)."
2,C-30644,0.9571666329504572,0.9571666329504572,Suspended,902.73,6,0,5800.18,0,6,13,high_award_excess | high_contact_attempts,"Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 2.31x the award, resulting in $5,800.18 of total excess payments). | The case shows an unusually high number of agency contact attempts (6 attempts)."
3,C-33980,0.9174949249210328,0.9174949249210328,Active,1086.29,10,0,286.46000000000004,1,6,0,multi_payment_month | high_contact_attempts,Multiple payments were recorded within the same calendar month (case received 10 payments over 6 months). | The case shows an unusually high number of agency contact attempts (6 attempts).
4,C-31298,0.8827676986540774,0.8827676986540774,Active,746.45,6,0,7504.559999999999,0,5,8,high_award_excess | high_contact_attempts,"Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 2.96x the award, resulting in $7,504.56 of total excess payments). | The case shows an unusually high number of agency contact attempts (5 attempts)."
5,C-30945,0.8815730402632165,0.8815730402632165,Closed,534.47,6,3,17.87999999999988,0,6,4,post_closure_payment | high_contact_attempts,Payments continued after the recorded case closure (case received 3 post-closure payments). | The case shows an unusually high number of agency contact attempts (6 attempts).
6,C-30824,0.8715477854340873,0.8715477854340873,Closed,583.19,6,3,99.61999999999978,0,4,1,post_closure_payment,Payments continued after the recorded case closure (case received 3 post-closure payments).
7,C-34118,0.8637998166504187,0.8637998166504187,Active,1365.62,6,0,5391.81,0,5,7,high_award_excess | high_contact_attempts,"Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 1.81x the award, resulting in $5,391.81 of total excess payments). | The case shows an unusually high number of agency contact attempts (5 attempts)."
8,C-32962,0.8415702265531616,0.8415702265531616,Suspended,1017.53,6,0,4937.09,0,3,12,high_award_excess,"Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 1.97x the award, resulting in $4,937.09 of total excess payments)."
9,C-32035,0.8377881070539651,0.8377881070539651,Active,1139.01,7,0,260.23,1,5,19,multi_payment_month | high_award_excess | high_contact_attempts | unreviewed_review_gap,"Multiple payments were recorded within the same calendar month (case received 7 payments over 6 months). | Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 1.06x the award, resulting in $260.23 of total excess payments). | The case shows an unusually high number of agency contact attempts (5 attempts). | The case has been unreviewed for an unusually long period (19 months)."
10,C-33702,0.834542248419977,0.834542248419977,Closed,1291.6,6,3,262.07000000000085,0,5,8,post_closure_payment | high_award_excess | high_contact_attempts,"Payments continued after the recorded case closure (case received 3 post-closure payments). | Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 1.05x the award, resulting in $262.07 of total excess payments). | The case shows an unusually high number of agency contact attempts (5 attempts)."
11,C-30387,0.8241030841800292,0.8241030841800292,Closed,1116.54,6,3,46.50000000000023,0,3,20,post_closure_payment | unreviewed_review_gap,Payments continued after the recorded case closure (case received 3 post-closure payments). | The case has been unreviewed for an unusually long period (20 months).
12,C-30121,0.8126554960834476,0.8126554960834476,Closed,531.08,6,3,30.269999999999868,0,5,22,post_closure_payment | high_contact_attempts | unreviewed_review_gap,Payments continued after the recorded case closure (case received 3 post-closure payments). | The case shows an unusually high number of agency contact attempts (5 attempts). | The case has been unreviewed for an unusually long period (22 months).
13,C-31131,0.8059973238244877,0.8059973238244877,Suspended,952.41,6,0,4157.450000000001,0,5,6,high_award_excess | high_contact_attempts,"Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 1.84x the award, resulting in $4,157.45 of total excess payments). | The case shows an unusually high number of agency contact attempts (5 attempts)."
14,C-34091,0.8055742042041323,0.8055742042041323,Closed,432.81,6,3,70.34999999999997,0,4,13,post_closure_payment | high_award_excess,"Payments continued after the recorded case closure (case received 3 post-closure payments). | Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 1.06x the award, resulting in $70.35 of total excess payments)."
15,C-32995,0.8044179485273553,0.8044179485273553,Active,778.27,6,0,6663.18,0,5,10,high_award_excess | high_contact_attempts,"Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 2.71x the award, resulting in $6,663.18 of total excess payments). | The case shows an unusually high number of agency contact attempts (5 attempts)."
16,C-32708,0.8001095633736677,0.8001095633736677,Closed,1126.42,6,3,139.34999999999968,0,4,21,post_closure_payment | high_award_excess | unreviewed_review_gap,"Payments continued after the recorded case closure (case received 3 post-closure payments). | Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 1.06x the award, resulting in $139.35 of total excess payments). | The case has been unreviewed for an unusually long period (21 months)."
17,C-33364,0.7964051162864256,0.7964051162864256,Active,871.28,7,0,44.86000000000013,1,3,5,multi_payment_month,Multiple payments were recorded within the same calendar month (case received 7 payments over 6 months).
18,C-34196,0.7921071123365677,0.7921071123365677,Closed,1406.73,6,4,65.66999999999985,0,3,12,post_closure_payment,Payments continued after the recorded case closure (case received 4 post-closure payments).
19,C-33728,0.7913020614263159,0.7913020614263159,Closed,1063.56,6,3,110.15000000000008,0,2,15,post_closure_payment,Payments continued after the recorded case closure (case received 3 post-closure payments).
20,C-30954,0.7893611076229243,0.7893611076229243,Active,834.54,6,0,5370.5,0,2,3,high_award_excess,"Actual payment amounts were substantially higher than the standard monthly award (maximum payment was 2.23x the award, resulting in $5,370.50 of total excess payments)."
