case_id,status,district,age_band,language_preference,tenure,household_size,opened_date,closure_month,monthly_award,opened_year,opened_month,case_age_months,contact_attempts,months_since_review,payment_adjustments,total_payments,total_amount_paid,avg_payment_amount,min_payment_amount,max_payment_amount,std_payment_amount,distinct_payment_months,max_payments_in_single_month,multi_payment_months_count,has_same_month_multi_payments,post_closure_payment_count,is_post_closure_paid,total_post_closure_amount,total_excess_amount,avg_payment_to_award_ratio,max_payment_to_award_ratio,num_adjusted_payments,adjustment_rate,anomaly_score,priority_score
C-33263,Suspended,Calder Central,30-44,Spanish,No fixed abode,6,2025-03-20,,1368.13,2025,3,9,5,6,3,6,15128.2,2521.366666666667,2253.21,2729.07,187.07516058169415,6,1,0,0,0,0,0.0,6919.419999999999,1.842929156342355,1.9947446514585605,3,0.5,0.2000472213536546,1.0
C-30644,Suspended,Ash Hill,45-59,English,Social tenancy,4,2025-01-17,,902.73,2025,1,11,6,13,3,6,11216.56,1869.4266666666665,1692.58,2080.89,167.0256523611467,6,1,0,0,0,0,0.0,5800.18,2.070859134698821,2.305107839553355,3,0.5,0.18570308525298784,0.9571666329504571
C-33980,Active,Weybridge,60-74,Spanish,Private tenancy,3,2021-01-29,,1086.29,2021,1,59,6,0,5,10,11073.67,1107.367,1030.15,1131.69,33.03672200916892,6,2,4,1,0,0,0.0,286.46000000000004,1.0194027377587935,1.0417936278525992,4,0.4,0.17241773276921546,0.9174949249210328
C-30419,Closed,Northgate,45-59,English,Social tenancy,6,2021-10-02,2025-08,1760.46,2021,10,50,3,12,1,2,3202.61,1601.3049999999998,1440.53,1762.08,227.3701854905344,2,1,0,0,0,0,0.0,1.6199999999998909,0.90959465139793,1.000920214034968,1,0.5,0.1700738454444759,0.9104957870573956
C-31298,Active,Ash Hill,30-44,Spanish,Private tenancy,4,2022-09-16,,746.45,2022,9,39,5,8,3,6,11983.26,1997.21,1749.02,2211.51,201.42625588537356,6,1,0,0,0,0,0.0,7504.559999999999,2.675611226471967,2.9627034630584768,1,0.1666666666666666,0.1607881996672369,0.8827676986540774
C-30945,Closed,Calder Central,30-44,Other,No fixed abode,1,2024-11-18,2025-09,534.47,2024,11,13,6,4,5,6,3142.51,523.7516666666667,508.8,550.68,16.36682671340614,6,1,0,0,3,1,1580.56,17.87999999999988,0.9799458653744209,1.0303291110820063,3,0.5,0.16038812972801186,0.8815730402632165
C-30824,Closed,Northgate,30-44,English,Owner-occupier,2,2021-09-08,2025-09,583.19,2021,9,51,4,1,4,6,3544.25,590.7083333333334,552.54,610.72,27.076011092232,6,1,0,0,3,1,1768.74,99.61999999999978,1.0128917391130392,1.0472058848745691,4,0.6666666666666666,0.15703084942019563,0.8715477854340873
C-34118,Active,Northgate,18-29,English,Owner-occupier,5,2021-04-07,,1365.62,2021,4,56,5,7,0,6,13585.53,2264.255,1972.93,2476.31,197.02074213138067,6,1,0,0,0,0,0.0,5391.81,1.6580417685739812,1.8133228863080504,0,0.0,0.15443619188117674,0.8637998166504187
C-32962,Suspended,Calder Central,18-29,English,Private tenancy,4,2022-03-03,,1017.53,2022,3,45,3,12,3,6,11042.27,1840.378333333333,1727.08,2005.5,113.29784594892644,6,1,0,0,0,0,0.0,4937.09,1.8086723077779847,1.970949259481293,1,0.1666666666666666,0.14699189581525507,0.8415702265531616
C-32035,Active,Ash Hill,18-29,English,Social tenancy,5,2022-12-20,,1139.01,2022,12,36,5,19,3,7,8187.77,1169.6814285714286,1093.48,1206.84,40.01264026470115,6,2,1,1,0,0,0.0,260.23,1.026928146874416,1.0595517159638632,5,0.7142857142857143,0.1457253309714801,0.8377881070539651
