rank,case_id,priority_score,anomaly_score,status,monthly_award,total_amount_paid,total_excess_amount,post_closure_payment_count,has_same_month_multi_payments,max_payment_to_award_ratio,num_adjusted_payments
1,C-33263,1.0,0.2000472213536546,Suspended,1368.13,15128.2,6919.419999999999,0,0,1.9947446514585605,3
2,C-30644,0.9571666329504572,0.1857030852529878,Suspended,902.73,11216.56,5800.18,0,0,2.305107839553355,3
3,C-33980,0.9174949249210328,0.1724177327692154,Active,1086.29,11073.67,286.46000000000004,0,1,1.0417936278525992,4
4,C-30419,0.9104957870573956,0.1700738454444759,Closed,1760.46,3202.61,1.6199999999998909,0,0,1.000920214034968,1
5,C-31298,0.8827676986540774,0.1607881996672369,Active,746.45,11983.26,7504.559999999999,0,0,2.9627034630584768,1
6,C-30945,0.8815730402632165,0.1603881297280118,Closed,534.47,3142.51,17.87999999999988,3,0,1.0303291110820063,3
7,C-30824,0.8715477854340873,0.1570308494201956,Closed,583.19,3544.25,99.61999999999978,3,0,1.0472058848745691,4
8,C-34118,0.8637998166504187,0.1544361918811767,Active,1365.62,13585.53,5391.81,0,0,1.8133228863080504,0
9,C-32962,0.8415702265531616,0.146991895815255,Suspended,1017.53,11042.27,4937.09,0,0,1.970949259481293,1
10,C-32035,0.8377881070539651,0.1457253309714801,Active,1139.01,8187.77,260.23,0,1,1.0595517159638632,5
11,C-33818,0.8347404511832424,0.1447047249904681,Closed,1788.56,5330.01,66.98000000000025,0,0,1.0320760835532496,1
12,C-33702,0.834542248419977,0.1446383503949684,Closed,1291.6,7980.900000000001,262.07000000000085,3,0,1.0532517807370705,2
13,C-30387,0.8241030841800292,0.141142459155276,Closed,1116.54,6624.8,46.50000000000023,3,0,1.0276747810199367,0
14,C-30121,0.8126554960834476,0.1373088646238955,Closed,531.08,3059.3,30.269999999999868,3,0,1.0272651954507794,2
15,C-32297,0.8073181598786735,0.1355214852463242,Closed,1356.56,1433.11,76.54999999999995,0,0,1.05642949814236,1
16,C-31131,0.8059973238244877,0.135079160642097,Suspended,952.41,9871.91,4157.450000000001,0,0,1.843712266775864,1
17,C-34091,0.8055742042041323,0.134937465374148,Closed,432.81,2632.83,70.34999999999997,3,0,1.0553591645294702,2
18,C-32995,0.8044179485273553,0.1345502558238067,Active,778.27,11332.8,6663.18,0,0,2.7066442237269843,2
19,C-32708,0.8001095633736677,0.1331074539318353,Closed,1126.42,6819.24,139.34999999999968,3,0,1.0552902114664158,2
20,C-33364,0.7964051162864256,0.1318669002033446,Active,871.28,5781.34,44.86000000000013,0,1,1.0372210999908182,5
